Тема;Категория;Статус;Дата публикации
Светящиеся грибы в лесах Бразилии: виды и причины биолюминесценции;Природа;;
Война из-за уха Дженкинса: как отрезанное ухо спровоцировало конфликт между Британией и Испанией;История;;
Бессмертная медуза Turritopsis dohrnii: процесс обращения жизненного цикла вспять;Животные;;
Эффект Мпембы: почему горячая вода иногда замерзает быстрее холодной? Эксперименты и гипотезы;Наука;;
Висячий монастырь Сюанькун-сы в Китае: инженерные решения и история;Архитектура;;
Юлиана Кёпке: выживание в джунглях после авиакатастрофы;Люди;;
Огни Хессдалена: загадочные светящиеся шары в небе Норвегии - теории происхождения;Явления;;
Пистолетная креветка: механизм создания кавитационного пузыря и его мощность;Животные;;
Остров Сокотра: Серия - Часть 1: Эндемичные растения (Драконово, Бутылочное дерево);Путешествия;;
Остров Сокотра: Серия - Часть 2: Уникальная фауна (птицы, рептилии);Путешествия;;
Остров Сокотра: Серия - Часть 3: География, климат и ландшафты;Путешествия;;
Остров Сокотра: Серия - Часть 4: Культура, язык и жизнь островитян;Путешествия;;
Танцующая чума 1518 года: хронология событий и возможные причины массовой истерии;История;;
Тардиграды (водяные медведи): Серия - Часть 1: Удивительная выживаемость в экстремальных условиях;Наука;;
Тардиграды (водяные медведи): Серия - Часть 2: Эксперименты в космосе и устойчивость к радиации;Наука;;
Тардиграды (водяные медведи): Серия - Часть 3: Механизмы ангидробиоза и криптобиоза;Наука;;
Босабол: правила игры, история возникновения и география распространения;Спорт;;
Кровавый водопад в Антарктиде: железоокисные бактерии и подледное озеро;Природа;;
Деревня Гитхорн в Нидерландах: жизнь без дорог, история и туризм;Архитектура;;
Стэнли Торнтон (и др.): жизнь людей с врожденной анальгезией (нечувствительность к боли);Люди;;
Рукопись Войнича: Серия - Часть 1: История манускрипта и первые исследования;История;;
Рукопись Войнича: Серия - Часть 2: Анализ иллюстраций (растения, астрономия, люди);История;;
Рукопись Войнича: Серия - Часть 3: Лингвистический анализ и основные гипотезы (шифр, мистификация);Наука;;
Рукопись Войнича: Серия - Часть 4: Применение ИИ и последние попытки расшифровки;Наука;;
Птица лирохвост: мастерство имитации звуков и брачные ритуалы;Животные;;
Антикитерский механизм: реконструкция и предполагаемые функции;Технологии;;
Облака Утренняя Глория: условия формирования и места наблюдения;Явления;;
Врата Ада (Дарваза): история возникновения кратера и его текущее состояние;Путешествия;;
Свистящий язык Сильбо Гомеро: история, использование и сохранение;Культура;;
Радужные эвкалипты: география распространения и причины окраски коры;Природа;;
Аксолотль: неотения и удивительная способность к регенерации;Животные;;
Подземный город Деринкую в Турции: структура, назначение и история использования;Архитектура;;
Исчезновение колонии Роанок: теории (ассимиляция, нападение, болезнь);История;;
"Вим Хоф ""Ледяной человек"": метод Вима Хофа (дыхание, холод) и научные исследования";Люди;;
Феномен Баадера-Майнхоф (иллюзия частотности): когнитивные искажения;Наука;;
История марафонского бега: от легенды до современных соревнований;Спорт;;
Рыба-капля: адаптация к глубоководному давлению и реальный вид в естественной среде;Животные;;
Каменный лес Шилинь в Китае: геология карстовых образований;Природа;;
Линзовидные облака: формирование над горами и связь с НЛО;Явления;;
Остров кукол в Мексике: легенда Дона Хулиана и жуткая атмосфера;Путешествия;;
Библиотека Наг-Хаммади: содержание найденных текстов (Евангелие от Фомы);История;;
Дом Хундертвассера в Вене: философия архитектора и экологические принципы;Архитектура;;
Серия: Экстремофилы - Часть 1: Термофилы: жизнь при высоких температурах (гейзеры, гидротермальные источники);Наука;;
Серия: Экстремофилы - Часть 2: Галофилы: выживание в сверхсоленых средах (Мертвое море);Наука;;
Серия: Экстремофилы - Часть 3: Ацидофилы и Алкалифилы: жизнь в кислотных и щелочных условиях;Наука;;
Серия: Экстремофилы - Часть 4: Радиорезистентные организмы (Deinococcus radiodurans);Наука;;
Леонардо да Винчи: Серия - Часть 1: Не только художник: изобретения и научные исследования;Люди;;
Леонардо да Винчи: Серия - Часть 2: Анатомические рисунки и вклад в медицину;Люди;;
"Леонардо да Винчи: Серия - Часть 3: Загадки и тайны: зеркальное письмо, ""код да Винчи""";Люди;;
Озеро Натрон в Танзании: щелочность воды и окаменевшие животные;Природа;;
Каменный календарь Адама в Южной Африке: теории о назначении и датировке;История;;
Электрический угорь: органы генерации электричества и охота;Животные;;
Механическая утка Вокансона: устройство и демонстрации автоматона;Технологии;;
Мост Ракотцбрюке (Чертов мост) в Германии: легенды и фотогеничность;Архитектура;;
Зеленый луч: физика атмосферного явления и условия наблюдения;Явления;;
Голубая лагуна в Исландии: геотермальная энергетика и спа-курорт;Путешествия;;
Погребальные ритуалы народа Тораджи: праздники смерти и мумификация;Культура;;
Гипотеза симуляции: аргументы за и против (философия и физика);Наука;;
Цутому Ямагути: история выживания в Хиросиме и Нагасаки;Люди;;
Долголетие гренландской акулы: методы определения возраста и медленный метаболизм;Животные;;
"Операция ""Мясной фарш"": детали планирования и успех дезинформации";История;;
Гарлем Глобтроттерс: история команды, шоу-элементы и социальное влияние;Спорт;;
Каса Мила (Ла Педрера) Гауди: биоморфные формы и инновационные решения;Архитектура;;
Шаровая молния: Серия - Часть 1: Исторические свидетельства и описания очевидцев;Явления;;
Шаровая молния: Серия - Часть 2: Научные гипотезы (плазма, кремний, микроволны) и эксперименты;Явления;;
Шакунтала Деви: демонстрация уникальных вычислительных способностей;Люди;;
Парадокс Ферми: возможные решения (Великий фильтр, гипотеза зоопарка);Наука;;
Салар де Уюни в Боливии: соляные отели и остров Инкауаси с кактусами;Путешествия;;
Коала: уникальная диета (эвкалипт) и особенности пищеварения;Животные;;
Дерево Вельвичия удивительная: адаптация к пустыне и продолжительность жизни;Природа;;
Загадка Этрусского языка: попытки дешифровки и известные слова;История;;
Гиперион: хаотичное вращение и пористая структура спутника Сатурна;Космос;;
Форты Маунселла: история строительства и послевоенная судьба (пиратские радиостанции);Архитектура;;
Морской огурец: защитные механизмы (выброс внутренностей, токсины);Животные;;
Фестский диск: возможные системы письма и гипотезы о содержании;Технологии;;
Григорий Распутин: влияние на царскую семью и загадка его убийства;Люди;;
Эффект плацебо и ноцебо: нейробиологические механизмы и применение в медицине;Наука;;
Озеро Хиллер в Австралии: причины розового цвета (водоросли Dunaliella salina);Природа;;
Миражи: типы миражей (нижние, верхние, Фата-моргана) и физика их возникновения;Явления;;
Коридоры Вазари во Флоренции: история создания и тайны секретного прохода;Путешествия;;
Луддиты: борьба против машин в Англии начала XIX века;История;;
Подводный хоккей: правила, снаряжение и чемпионаты;Спорт;;
"Богомол-орхидея: стратегия охоты ""агрессивная мимикрия""";Животные;;
Церковь Темппелиаукио в Хельсинки: акустика и архитектурные особенности;Архитектура;;
Карго-культы Меланезии: Джон Фрум и другие примеры культа;Культура;;
Даниэль Таммет: синестезия и изучение языков (исландский за неделю);Люди;;
Темная материя и темная энергия: косвенные доказательства существования;Наука;;
Ленские столбы в Якутии: геология и туризм;Природа;;
Проект MKUltra: цели, методы и этические проблемы экспериментов ЦРУ;История;;
Голый землекоп: социальная структура (эусоциальность) и долголетие;Животные;;
Подледный океан Европы: потенциальная обитаемость и будущие миссии;Космос;;
Дорога гигантов в Северной Ирландии: легенда о Финне Маккуле и геология;Путешествия;;
Минитель: французская информационная система до интернета;Технологии;;
"Кунстхаус в Граце, Австрия: ""биоморфная"" архитектура и контраст с окружением";Архитектура;;
"Рой Салливан: ""человек-громоотвод"", переживший 7 ударов молнии";Люди;;
Брокенский призрак: оптическое явление в горах (глория + тень);Явления;;
Инцидент на перевале Дятлова: Серия - Часть 1: Хронология событий и обнаружение тел;История;;
Инцидент на перевале Дятлова: Серия - Часть 2: Основные версии гибели группы (природные, техногенные, криминальные);История;;
Инцидент на перевале Дятлова: Серия - Часть 3: Загадочные факты (травмы, радиация) и современные расследования;История;;
"Брайниклы (""Ледяные пальцы смерти""): формирование и воздействие на морское дно";Природа;;
Василиск: физика бега по воде (поверхностное натяжение, скорость);Животные;;
Эффект Лейденфроста: паровой слой и его свойства;Наука;;
Винчестерский дом: Серия - Часть 1: Наследство Сары Винчестер и начало бесконечной стройки;Архитектура;;
Винчестерский дом: Серия - Часть 2: Лабиринты коридоров, ложные двери, лестницы в потолок;Архитектура;;
Винчестерский дом: Серия - Часть 3: Легенды о призраках, сеансы и нумерология;Архитектура;;
Финеас Гейдж: как травма мозга изменила личность (исследования нейробиологии);Люди;;
Звездонос (Star-nosed mole): самый быстрый едок среди млекопитающих;Животные;;
Централия, Пенсильвания: история подземного пожара и эвакуация города;Путешествия;;
Великая война с эму в Австралии: Серия - Часть 1: Фермеры против эму, призыв армии;История;;
"Великая война с эму в Австралии: Серия - Часть 2: Неудачи военных с пулеметами и ""победа"" эму";История;;
Триболюминесценция: механизм свечения при раскалывании кристаллов;Наука;;
Бузкаши: правила игры и культурное значение в Афганистане и Центральной Азии;Спорт;;
Огненные муравьи: строительство живых плотов для выживания;Природа;;
Чанд Баори: самый глубокий и фотогеничный ступенчатый колодец Индии;Архитектура;;
"Жозеф Пужоль (Ле Петоман): карьера ""артиста-метеориста"" и его репертуар";Люди;;
"Рыба-брызгун (Archerfish): точность ""выстрела"" и обучение";Животные;;
Трупный синод: политические интриги и посмертное осуждение Папы Формоза;История;;
Автоматоны Жаке-Дро: сложность механизмов и современные реставрации;Технологии;;
"Пенитентес: формирование ""кающихся снежников"" на больших высотах";Явления;;
Парадокс Банаха-Тарского: математический нонсенс или глубокая теорема?;Наука;;
Данакильская впадина, Эфиопия: соляные караваны народа Афар;Путешествия;;
Канамара Мацури: синтоистские корни и современное празднование;Культура;;
Маримо: загадка формирования идеальных шаров из водорослей;Природа;;
Краб-йети: симбиоз с бактериями на клешнях;Животные;;
Коулун - город-крепость: анархия, преступность и уникальная субкультура;Архитектура;;
Лондонский пивной потоп 1814 года: жертвы и судебные разбирательства;История;;
"Глория Рамирес (""Токсичная леди""): научные гипотезы о причине ""токсичности""";Люди;;
Сонолюминесценция: загадка высоких температур и коротких вспышек света;Наука;;
Херлинг: снаряжение (хёрли, слитар) и травмоопасность;Спорт;;
Стеклянная лягушка: значение прозрачности (маскировка, терморегуляция?);Животные;;
Дендритные кристаллы соли: красота самоорганизации материи;Природа;;
Поющие пески: связь звука с размером и формой песчинок;Явления;;
Остров Хасима (Гункандзима): история угольной шахты и жизнь рабочих;Путешествия;;
Здание-корзина (Basket Building): история создания и дальнейшая судьба;Архитектура;;
Серия: Уникальные языки - Часть 1: Язык !Къхонг: самое большое количество фонем;Наука;;
Серия: Уникальные языки - Часть 2: Язык Ротокас: самый маленький алфавит в мире;Наука;;
Серия: Уникальные языки - Часть 3: Искусственные языки (Эсперанто, Клингонский);Наука;;
Таррар: медицинские исследования и загадочная смерть;Люди;;
Ледяные пещеры Скафтафелль: динамика ледника и изменение пещер;Природа;;
Загадка человека из Сомертона (Тамам Шуд): Серия - Часть 1: Детали находки и нестыковки;История;;
Загадка человека из Сомертона (Тамам Шуд): Серия - Часть 2: Ключевые улики (книга, код, чемодан);История;;
Загадка человека из Сомертона (Тамам Шуд): Серия - Часть 3: Эксгумация и ДНК-анализ 2022 года;История;;
Вампировые вьюрки Галапагосов: эволюция пищевого поведения;Животные;;
Шифр Цезаря: простота взлома и историческое значение;Технологии;;
Скара-Брей: быт неолитических жителей Оркнейских островов;Архитектура;;
Блуждающие огни: связь с фольклором (призраки, феи);Явления;;
Солончак Салар де Атакама: лагуны с фламинго и пустынные пейзажи;Путешествия;;
Диджериду: использование в музыке и медитации;Культура;;
Рог Габриэля: парадокс для интуиции и математическое объяснение;Наука;;
Ольга Киевская: крещение и роль в истории Руси;Люди;;
Фейри-серклс (Fairy circles) в Намибии: споры ученых о причинах;Природа;;
Киви: угрозы для популяции и программы сохранения (*углубление*);Животные;;
Война за ухо Дженкинса: влияние на колониальную политику;История;;
"Кабадди: тактика игры (""рейдеры"" и ""анти"")";Спорт;;
Небоскреб Turning Torso: связь архитектуры и скульптуры;Архитектура;;
Огни святого Эльма: наблюдение на мачтах кораблей и самолетах (*углубление*);Явления;;
Сеноты Юкатана: священные колодцы майя и места жертвоприношений;Путешествия;;
Osedax: разнообразие видов и адаптация к глубоководной среде;Животные;;
Вулкан Даллол: геотермальная активность и формирование ландшафта;Природа;;
"Толедская война: ""битва"" при Филлипс-Корнерс и политическое решение";История;;
"Экзопланета Осирис (HD 209458 b): изучение атмосферы (""хвост"" из водорода)";Космос;;
Азбука Морзе: использование в радиосвязи и сигнальных лампах;Технологии;;
Паук-гладиатор (Deinopis): гигантские глаза для ночного зрения;Животные;;
Стеклянная гармоника: забвение и возрождение инструмента;Культура;;
"Чинг Ши: кодекс пиратов и ""пенсия"" после карьеры";Люди;;
Принцип неопределенности Гейзенберга: связь с квантовыми измерениями;Наука;;
Петрифицированный лес, Аризона: процесс окаменения древесины;Природа;;
Акустическая левитация: левитация капель воды и мелких предметов;Явления;;
Трансфэгэрашское шоссе: строительство при Чаушеску и туристический маршрут;Путешествия;;
Инцидент Тангейт: официальное расследование и альтернативные теории;История;;
Джай-алай: скорость мяча и защитное снаряжение игроков;Спорт;;
Тигровая рыба Голиаф: размер, зубы и опасность для человека;Животные;;
Побитые камни (Каменный лес в Болгарии): теории происхождения (органические, неорганические);Архитектура;;
Бой верблюдов в Турции: подготовка верблюдов и ритуалы;Культура;;
Моцарт: Серия - Часть 1: Вундеркинд и ранние годы;Люди;;
Моцарт: Серия - Часть 2: Венский период, великие оперы и симфонии;Люди;;
"Моцарт: Серия - Часть 3: Загадка ""Реквиема"" и смерть композитора";Люди;;
Математика бесконечности: парадоксы теории множеств (Парадокс Рассела);Наука;;
Пещера Ласточек (Мексика): экосистема пещеры (стрижи, попугаи);Природа;;
Casus belli: Эмская депеша как повод к Франко-прусской войне;История;;
Ай-ай: сохранение вида и проблемы (уничтожение из-за суеверий);Животные;;
Облако Оорта: влияние на появление комет в Солнечной системе;Космос;;
Долина Монументов: геология (бьюты, месы) и священное значение для Навахо;Путешествия;;
Перфокарты: использование в переписи населения и первых ЭВМ;Технологии;;
Кадизский собор: смешение стилей (барокко, неоклассицизм);Архитектура;;
Симон Боливар: политические идеи и мечта о единой Южной Америке;Люди;;
Лунная радуга: лучшие места и условия для наблюдения;Явления;;
Морской ангел: адаптация к холодной воде и планктонный образ жизни;Животные;;
Праздник Холи: социальное значение (снятие кастовых ограничений);Культура;;
Кокосовый краб: сила клешней и способность лазать по деревьям;Животные;;
Остров Прочида: самый маленький населенный остров Неаполитанского залива;Путешествия;;
Храм Кайласанатха в Эллоре: масштаб работ и детали резьбы;Архитектура;;
Песапалло: отличия от бейсбола и лапты;Спорт;;
Гарри Гудини: Серия - Часть 1: Ранние годы и начало карьеры иллюзиониста;Люди;;
Гарри Гудини: Серия - Часть 2: Знаменитые побеги (из цепей, ящиков, под водой);Люди;;
Гарри Гудини: Серия - Часть 3: Разоблачение медиумов и загадка смерти;Люди;;
Механизм предсказания землетрясений Чжан Хэна: легенды и реконструкции;Технологии;;
Панголин: уникальная чешуя и защитное поведение (сворачивание в шар);Животные;;
Множество Мандельброта: красота и сложность фрактальной геометрии;Наука;;
Шоколадные холмы, Филиппины: как трава меняет цвет холмов;Природа;;
Библиотека Ашшурбанипала: значение для изучения Месопотамии;История;;
Галактика Сомбреро: загадка темной пылевой полосы;Космос;;
Дворец Парламента в Бухаресте: стоимость строительства и интерьеры;Архитектура;;
"Флоренс Найтингейл: использование статистики в медицине (""Диаграмма розы"")";Люди;;
Солнечный столб: как кристаллы льда отражают свет;Явления;;
Манул: адаптация к суровому климату и скрытный образ жизни;Животные;;
Дагерротипия: процесс создания первых фотографий;Технологии;;
Голубой город Шефшауэн: теории о происхождении синего цвета;Путешествия;;
Пороховой заговор: роль Гая Фокса и провал заговора;История;;
Каньон Фьядрарглйуфур: влияние туризма и клипа Джастина Бибера;Природа;;
Гравитационное линзирование: открытие Эйнштейном и современные наблюдения;Наука;;
Чинлон: история и культурное значение в Мьянме;Спорт;;
Капибара: почему они так дружелюбны? (социальная структура);Животные;;
Кривой домик в Сопоте: архитекторы и вдохновение;Архитектура;;
Джим Торп: многоборец, бейсболист, футболист - универсальный атлет;Люди;;
"Розвеллский инцидент: ""метеозонд"" и показания свидетелей";История;;
День мертвых в Мексике: сравнение с Хэллоуином;Культура;;
Улитка-конус: механизм действия яда (конотоксины);Животные;;
Туманность Конская Голова: почему она темная? (пылевое облако);Космос;;
Форт Джайсалмер: история Раджпутов и оборона крепости;Архитектура;;
"Последовательность Фибоначчи: Леонардо Фибоначчи и ""Книга абака""";Люди;;
Кольца епископа: как вулканический пепел создает оптический эффект;Явления;;
Иван Грозный и Елизавета I: несостоявшийся брак и дипломатические игры;История;;
Дорога Смерти (Боливия): статистика несчастных случаев и альтернативные маршруты;Путешествия;;
Японские макаки: передача культурных навыков (мытье батата);Животные;;
Водяной орган (Гидравлос): реконструкции и звучание;Технологии;;
Фантомные конечности: лечение с помощью зеркальной терапии;Наука;;
Озеро Моно: уникальная экосистема (артемии, щелочные мухи);Природа;;
Лакросс: современные правила и международные соревнования;Спорт;;
Мечеть шейха Зайда: самый большой ковер и люстры Сваровски;Архитектура;;
Гребневики: уникальная нервная система и движение ресничек;Животные;;
Эратосфен: вклад в географию (создание карты мира);Люди;;
Венецианский карнавал: современные традиции и балы-маскарады;Культура;;
"Пульсары как точные ""космические часы""";Космос;;
Глория в авиации: наблюдение вокруг тени самолета на облаках;Явления;;
Ущелье Самария: легенды и история Крита;Путешествия;;
Экспедиция Франклина: каннибализм среди выживших?;История;;
Теорема о четырех красках: значение для картографии и теории графов;Наука;;
Долгопят: угрозы для вида и охранный статус;Животные;;
Гора Фудзияма: извержения вулкана и геологическая история;Природа;;
Статуя Свободы: как ее доставили из Франции и собрали в США;Архитектура;;
Братья Райт: спор о первенстве с другими пионерами авиации;Люди;;
Водородная бомба: испытания (Царь-бомба) и международные договоры;Технологии;;
Петанк: стратегия и тактика игры;Спорт;;
Рыба-клоун: смена пола у рыб-клоунов;Животные;;
Ледяные цветы на море: редкое явление в Арктике и Антарктике;Явления;;
"Троянская война: Гомер, ""Илиада"" и историческая основа эпоса";История;;
Озеро Титикака: легенды инков и затонувшие города;Путешествия;;
Дилемма заключенного: примеры в экономике и политике;Наука;;
Национальный парк Чжанцзяцзе: стеклянные мосты и лифты;Природа;;
Эйфелева башня: использование в качестве радиомачты и лаборатории;Архитектура;;
Карл Линней: система классификации и ее развитие;Люди;;
Медоед против кобры: бесстрашие и устойчивость к яду;Животные;;
Ганимед: самый большой спутник в Солнечной системе, имеет магнитосферу;Космос;;
Оригами: журавлик как символ мира (Садако Сасаки);Культура;;
Кодекс Хаммурапи: законы о семье, собственности и торговле;История;;
Наутилус Жюля Верна: влияние на реальное подводное кораблестроение;Технологии;;
Светлячки: синхронное мигание у некоторых видов;Животные;;
Световые столбы: связь с погодными условиями (мороз, штиль);Явления;;
"Фингалова пещера: вдохновение для Мендельсона (""Гебриды"")";Путешествия;;
Золотое сечение в природе: спирали галактик, раковины наутилуса;Наука;;
Колизей: использование как крепости, каменоломни и жилья в Средние века;Архитектура;;
Гипатия Александрийская: конфликт науки и религии в поздней античности;Люди;;
Шахбокс: требования к спортсменам (физическая и интеллектуальная выносливость);Спорт;;
Великий лондонский пожар: роль в модернизации города (широкие улицы, кирпичные дома);История;;
Колибри: удивительный язык для сбора нектара;Животные;;
"Туманность Улитка: структура и происхождение ""кометных узлов""";Космос;;
Парейдолия в искусстве и дизайне: намеренное использование эффекта;Явления;;
Дерево Гиперион: сравнение с другими гигантскими деревьями;Природа;;
Альгамбра: исламское искусство и архитектура в Испании (дворики, фонтаны);Архитектура;;
Альфред Нобель: изобретения помимо динамита;Люди;;
3D-печать в космосе: создание инструментов и запчастей на МКС;Технологии;;
Глазчатая индейка: обитание и статус сохранения вида;Животные;;
Шелковый путь: основные маршруты и города (Самарканд, Бухара);История;;
Борьба сумо: подготовка борцов (рикиси) и диета (тянконабэ);Спорт;;
Парадокс всемогущества: философские аргументы и контраргументы;Наука;;
Ледник Фокса: скорость движения и влияние на ландшафт;Природа;;
Английское чаепитие (Five o'clock tea): история и традиции;Культура;;
Марсоход Curiosity: основные открытия (признаки древней воды, органические молекулы);Космос;;
Собор Святого Петра: площадь Святого Петра (Бернини) и колоннада;Архитектура;;
Мари Антуан Карем: создание классических французских соусов;Люди;;
Тасманский дьявол: уникальный звук (крик) и поведение;Животные;;
Магнитные бури: шкала G и предсказание космической погоды;Явления;;
Гейзер Старый Служака (Old Faithful): регулярность извержений;Путешествия;;
Эрнан Кортес: личность конкистадора и его методы;История;;
Стрелец A*: подтверждение существования сверхмассивной черной дыры (Нобелевская премия 2020);Наука;;
Река Амазонка: дельта реки и встреча с Атлантическим океаном;Природа;;
Белуха: сезонные миграции и места размножения;Животные;;
Телескоп Хаббл: ремонт в космосе и продление миссии;Технологии;;
Ангкор-Ват: барельефы и их сюжеты (индуистская мифология);Архитектура;;
"Исаак Ньютон: ""Математические начала натуральной философии""";Люди;;
Формула-1: безопасность гонщиков (системы HANS, Halo);Спорт;;
Темная сторона Луны: почему она так называется и что там находится;Космос;;
Испанская инквизиция: Торквемада и аутодафе;История;;
Лиственный морской дракон: отличие от морского конька;Животные;;
Фата-моргана: легенды и объяснение сложных миражей;Явления;;
Санторини: связь острова с легендой об Атлантиде;Путешествия;;
Теория хаоса: применение в экономике, биологии, метеорологии;Наука;;
Пустыня Сахара: оазисы как центры жизни и культуры;Природа;;
Японская каллиграфия (Сёдо): философия и связь с дзен-буддизмом;Культура;;
Бурдж-Халифа: система лифтов и смотровые площадки;Архитектура;;
Альбатрос: самый большой размах крыльев среди птиц;Животные;;
Христофор Колумб: четыре путешествия и их результаты;Люди;;
GPS: военное и гражданское применение системы;Технологии;;
Викинги: корабли (драккары) и навигационное искусство;История;;
Нью-Йоркский марафон: один из крупнейших марафонов мира;Спорт;;
Пояс Койпера: Плутон и его спутники (Харон);Космос;;
Шаровая молния: опасность и правила поведения при встрече;Явления;;
Памуккале: травертины и античный бассейн Клеопатры;Путешествия;;
Иммунитет: аллергии и аутоиммунные заболевания;Наука;;
Мертвое море: угроза высыхания и проекты спасения;Природа;;
Летучая мышь-вампир: питание кровью и антикоагулянты;Животные;;
"Сиднейский оперный театр: акустика залов и уникальная крыша-""паруса""";Архитектура;;
"Галилео Галилей: ""И всё-таки она вертится!"" - правда или легенда?";Люди;;
Золотая лихорадка: влияние на коренное население Калифорнии;История;;
Матрешка: происхождение (японская кукла Фукурума?);Культура;;
Церера: крупнейший астероид и карликовая планета, миссия Dawn;Космос;;
Полярные сияния на Сатурне: наблюдения телескопа Хаббл;Явления;;
Мачу-Пикчу: путь инков и современные способы добраться;Путешествия;;
Геном человека: сколько генов у человека и что они делают?;Наука;;
Эверест: шерпы - горные проводники и их роль;Природа;;
Снежный барс: адаптация к высокогорью и маскировка;Животные;;
Замок Нойшванштайн: интерьеры и вдохновение Вагнером;Архитектура;;
Умный дом: автоматизация освещения, климата, безопасности;Технологии;;
"Чарльз Дарвин: ""Происхождение видов"" и общественная реакция";Люди;;
Олимпийские игры: символы (кольца, огонь, талисманы);Спорт;;
Падение Западной Римской империи: дата (476 год) и значение;История;;
Муравьи-листорезы: грибные сады и касты муравьев;Животные;;
Проблема космического мусора: синдром Кесслера;Космос;;
Эффект дежавю: связь с височной долей мозга и памятью;Явления;;
Водопад Виктория: радуга в брызгах и лунная радуга;Природа;;
Та-моко: священное значение и процесс нанесения;Культура;;
Чичен-Ица: пирамида Кукулькана как календарь майя;Архитектура;;
Жираф: уникальный способ питья воды;Животные;;
Конфуцианство: этические принципы и влияние на Восточную Азию;Люди;;
Блокчейн: децентрализация и безопасность данных;Технологии;;
Столетняя война: битва при Азенкуре и роль лучников;История;;
Шахматы: компьютер Deep Blue против Каспарова;Спорт;;
Тунгусский метеорит: загадка взрыва 1908 года;Космос;;
Иллюзия Мюллера-Лайера: почему отрезки кажутся разной длины?;Явления;;
Петра: Сик - узкое ущелье, ведущее к Казначейству;Путешествия;;
Парадокс близнецов: мысленный эксперимент и подтверждение теории относительности;Наука;;
Тайга: крупнейший лесной массив планеты;Природа;;
Волк: предок домашней собаки;Животные;;
Храм Василия Блаженного: многоцветные купола и легенда об ослеплении зодчих;Архитектура;;
Закон Архимеда: легенда о короне царя Гиерона;Люди;;
Мартин Лютер: 95 тезисов и начало Реформации;История;;
Пещера Ласко, Франция: галерея доисторической живописи;Культура;;
"Реликтовое излучение: ""эхо"" Большого Взрыва";Космос;;
Круговорот воды: роль океанов и ледников;Явления;;
Остров Скай: замок Данвеган и клан Маклаудов;Путешествия;;
Фотосинтез: хлорофилл и процесс преобразования энергии;Наука;;
Разливы Нила: календарь и сельское хозяйство Древнего Египта;Природа;;
Слон: бивни и проблема браконьерства;Животные;;
Парфенон: скульптуры Фидия и их судьба (мраморы Элгина);Архитектура;;
Иоганн Гутенберг: изобретение книгопечатания подвижными литерами;Технологии;;
Клеопатра: последний фараон Египта и ее смерть;Люди;;
Мировая серия бейсбола: финал Главной лиги бейсбола;Спорт;;
Мумификация в Древнем Египте: процесс и религиозные верования;История;;
Цианея: самая большая медуза в мире;Животные;;
Жизненный цикл звезды: от протозвезды до конечной стадии;Космос;;
